Test,TSeq,FPR,TPar16,SpeedUp16,TPar32,SpeedUp32,TPar64,SpeedUp64,TPar128,SpeedUp128,TPar256,SpeedUp256,TPar512,SpeedUp512,TPar1024,SpeedUp1024,TPar2048,SpeedUp2048
10000,0.023,0.008,0.011,2.039,0.02,1.17,0.033,0.707,0.046,0.503,0.062,0.373,0.082,0.283,0.079,0.293,0.111,0.209
1120000,2.305,0.014,0.803,2.871,0.794,2.903,0.798,2.887,0.874,2.638,0.72,3.201,0.808,2.852,0.908,2.539,0.937,2.461
2230000,4.688,0.007,1.434,3.269,1.398,3.354,1.455,3.222,1.529,3.065,1.715,2.734,1.492,3.142,1.731,2.708,1.693,2.769
3340000,7.024,0.01,2.149,3.268,2.846,2.468,2.886,2.434,3.001,2.34,3.305,2.125,3.808,1.845,2.98,2.357,3.281,2.141
4450000,8.703,0.008,3.405,2.556,3.55,2.451,3.721,2.339,4.007,2.172,3.976,2.189,4.62,1.884,3.926,2.217,4.06,2.144
5560000,10.712,0.011,3.633,2.949,4.215,2.542,4.328,2.475,4.492,2.385,5.271,2.032,5.304,2.02,6.599,1.623,5.295,2.023
6670000,13.107,0.004,4.136,3.169,4.27,3.069,4.773,2.746,4.971,2.637,5.071,2.585,5.954,2.201,7.197,1.821,6.096,2.15
7780000,15.391,0.011,4.853,3.172,4.72,3.261,4.713,3.266,5.075,3.033,5.918,2.601,6.015,2.559,7.534,2.043,8.031,1.916
8890000,17.733,0.011,5.624,3.153,5.366,3.305,5.575,3.181,5.962,2.975,6.533,2.714,6.917,2.564,8.559,2.072,9.314,1.904
10000000,20.203,0.009,6.384,3.165,6.26,3.227,6.283,3.215,6.526,3.096,7.363,2.744,9.2,2.196,9.659,2.092,14.055,1.437
