Test,TSeq,FPR,TPar2,SpeedUp2,TPar4,SpeedUp4,TPar6,SpeedUp6,TPar8,SpeedUp8,TPar10,SpeedUp10,TPar12,SpeedUp12,TPar14,SpeedUp14,TPar16,SpeedUp16
10000,0.013729572296142578,0.1,0.89,0.015,0.642,0.021,0.722,0.019,0.026,0.525,1.32,0.01,0.029,0.47,0.032,0.427,0.031,0.45
1120000,1.6947944164276123,0.102,2.334,0.726,1.494,1.134,1.458,1.163,0.986,1.718,1.586,1.069,0.853,1.988,0.819,2.069,0.783,2.166
2230000,2.948498487472534,0.103,3.342,0.882,2.336,1.262,2.03,1.452,1.681,1.754,1.965,1.5,1.426,2.067,1.391,2.119,1.395,2.113
3340000,4.4003682136535645,0.103,4.506,0.977,2.964,1.485,2.854,1.542,2.185,2.014,2.561,1.718,1.915,2.298,1.958,2.248,1.944,2.264
4450000,5.8223090171813965,0.103,5.856,0.994,3.79,1.536,3.325,1.751,2.896,2.01,3.112,1.871,2.754,2.114,2.443,2.384,2.297,2.534
5560000,7.255177974700928,0.103,7.163,1.013,4.267,1.7,4.221,1.719,3.586,2.023,3.782,1.918,3.107,2.335,2.987,2.429,2.851,2.545
6670000,8.591999530792236,0.103,8.357,1.028,5.528,1.554,4.661,1.843,4.227,2.033,4.253,2.02,3.763,2.283,3.562,2.412,3.478,2.471
7780000,10.160309791564941,0.103,9.891,1.027,6.221,1.633,5.592,1.817,4.814,2.111,5.092,1.995,4.284,2.372,4.384,2.318,4.306,2.36
8890000,11.46293568611145,0.103,11.237,1.02,6.822,1.68,6.208,1.846,5.716,2.005,5.599,2.047,4.756,2.41,4.661,2.459,4.637,2.472
10000000,12.882511615753174,0.103,12.458,1.034,7.786,1.655,6.908,1.865,6.104,2.111,6.325,2.037,5.543,2.324,5.266,2.446,5.109,2.521
