test;tSeq;tPar2;speedUp2;tPar4;speedUp4;tPar6;speedUp6;tPar8;speedUp8;tPar10;speedUp10;tPar12;speedUp12;tPar14;speedUp14;tPar16;speedUp16;fpr;
1000;0.015;0.000;inf;0.000;inf;0.000;inf;0.000;inf;0.000;inf;0.015;1.000;0.000;inf;0.000;inf;0.046;
1112000;8.223;4.210;1.953;2.311;3.558;1.741;4.723;1.427;5.762;1.256;6.547;1.193;6.893;1.098;7.489;1.003;8.198;0.053;
2223000;15.569;8.107;1.920;4.565;3.411;3.497;4.452;2.833;5.496;2.637;5.904;2.398;6.492;2.294;6.787;1.983;7.851;0.053;
3334000;23.270;12.442;1.870;7.031;3.310;5.502;4.229;4.659;4.995;4.108;5.665;3.817;6.096;3.497;6.654;3.342;6.963;0.053;
4445000;32.082;17.023;1.885;9.407;3.410;7.134;4.497;5.963;5.380;5.371;5.973;4.928;6.510;4.820;6.656;4.169;7.695;0.053;
5556000;38.620;20.277;1.905;11.345;3.404;8.834;4.372;7.374;5.237;6.519;5.924;6.211;6.218;5.773;6.690;5.100;7.573;0.053;
6667000;46.189;24.400;1.893;13.738;3.362;10.604;4.356;8.878;5.203;7.827;5.901;7.505;6.154;6.914;6.681;6.198;7.452;0.053;
7778000;53.358;28.028;1.904;15.877;3.361;12.388;4.307;10.564;5.051;9.223;5.785;8.575;6.223;8.106;6.583;7.175;7.437;0.053;
8889000;61.240;31.972;1.915;18.157;3.373;13.897;4.407;11.716;5.227;10.567;5.795;9.977;6.138;9.179;6.672;8.281;7.395;0.053;
10000000;68.527;36.296;1.888;20.346;3.368;15.798;4.338;13.481;5.083;11.737;5.839;11.142;6.150;10.487;6.534;9.470;7.236;0.053;
